id,person,position_current,source,url,date_of_appointment,date_of_birth,age,birthplace,sex,bachelors,masters,doctorate,law,law_conservative_score,law_rank,barr_appointment,political_affiliation,connection_trump,connection_trumpally,connection_conservativeagenda,connection_careerprofessional,connection_other,american_center_for_law_and_justice,christian_legal_society_bar_association,federalist_society,heritage_foundation,national_rifle_association_tie,republican_national_lawyers_association_tie
62,"Larry Keefe","U.S. Attorney for the N.D. of Florida",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Lawrence_A._Keefe.jpg/220px-Lawrence_A._Keefe.jpg,2019/01/09,1961/12/30,58,"Fort Dix",male,"University of Florida",NA,NA,"University of Florida",-0.214,29,0,Democrat,0,0,1,0,1,NA,NA,NA,NA,NA,NA
63,"Robert K. Hur",NA,prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Robert_Hur_Official_Photo.jpg/220px-Robert_Hur_Official_Photo.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
64,"John R. Lausch Jr.","U.S. Attorney for the N.D. of Illinois",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Lausch_john_official.jpg/220px-Lausch_john_official.jpg,2017/11/22,1970/01/01,50,Joliet,male,"Harvard University",NA,NA,"Northwestern University",-0.839,8,0,None,0,0,0,1,0,NA,NA,NA,NA,NA,NA
65,"Erica MacDonald","U.S. Attorney for the District of Minnesota",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Erica_H._MacDonald_portrait.jpg/220px-Erica_H._MacDonald_portrait.jpg,2018/06/11,NA,NA,DeSoto,female,"University of Notre Dame",NA,NA,"DePaul University",-0.824,115,0,Republican,0,0,0,1,0,NA,NA,NA,NA,NA,NA
66,"Mark Klassen",NA,prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Mark_A._Klaassen.jpg/220px-Mark_A._Klaassen.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
67,"Louis V. Franklin Sr.","U.S. Attorney for the M.D. of Alabama",prosecutor,https://upload.wikimedia.org/wikipedia/commons/6/6b/Louis_V._Franklin_official_photo.jpg,2017/09/21,1958/01/01,62,Montgomery,male,"University of Alabama","Auburn University at Montgomery",NA,"Howard University",-1.17,148,0,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA
68,"William D. Hyslop","U.S. Attorney for the E.D. of Washington",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Hyslop-Official-Photo.jpg/220px-Hyslop-Official-Photo.jpg,2019/07/18,1951/01/01,69,Spokane,male,"Washington State University","University of Washington",NA,"Gonzaga University",-0.404,102,1,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA
69,"Peter M. McCoy Jr.","U.S. Attorney for the District of South Carolina",prosecutor,https://pbs.twimg.com/profile_images/1077402119605547008/I6S7lWdM_400x400.jpg,2020/03/30,1978/08/20,42,Charleston,male,"Hampden-Sydney College",NA,NA,"Regent University",0.264,102,NA,Republican,0,0,1,0,0,NA,NA,NA,NA,1,NA
70,"Erin Nealy Cox","U.S. Attorney for the N.D. of Texas",prosecutor,https://upload.wikimedia.org/wikipedia/commons/3/33/Erin_Nealy_Cox_official_photo.jpg,2017/11/17,1970/01/01,50,Pascagoula,female,NA,NA,NA,"University of Texas, Austin",-0.165,15,0,None,0,0,1,0,1,NA,NA,1,NA,NA,NA
71,"Matthew J. Schneider","U.S. Attorney for the E.D. of Michigan",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Matthew_schneider.jpg/220px-Matthew_schneider.jpg,2018/01/05,NA,NA,,male,"Michigan State University",NA,NA,"University of Michigan",-0.776,8,0,NA,0,0,1,1,0,NA,NA,1,NA,NA,NA
72,"Nicholas A. Trutanich","U.S. Attorney for the District of Nevada",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Trutanich_Nicholas.jpg/220px-Trutanich_Nicholas.jpg,2019/01/16,NA,NA,,male,"University of California, Davis",NA,NA,"Georgetown University",-0.821,15,0,Democrat,0,0,0,1,0,NA,NA,NA,NA,NA,NA
