agency_name,position_title,attorney,title,employer,Firm conservative score,start_date,end_date
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,Two confidential clients,,,
Justice,Associate Attorney General,Rachel L. Brand,Consulting services related to policy advice or fundraising,U.S. Chamber Litigation Center,,2017,2018
Justice,Associate Attorney General,Rachel L. Brand,Senior Advisor,U.S. Chamber Litigation Center,,2017,2018
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),U.S. Chamber of Commerce,,,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),U.S. Steel Corporation,,,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Legal services,UBS Securities LLC,,2017,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,Ultimate Fighting Championship,,2017,
Justice,Attorney General,Jefferson B. Sessions,Captain,United States Army Reserve,,1973,1986
Justice,Deputy Attorney General,Rod J. Rosenstein,Assistant US Attorney,United States Attorney's Office for the District of Maryland,,1997,2001
Justice,Deputy Attorney General,Rod J. Rosenstein,Attorney,United States Attorney's Office for the District of Maryland,,2005,2017
Justice,Attorney General,Jefferson B. Sessions,Assistant Attorney,United States Attorney's Office for the Southern District of Alabama,,1975,1977
Justice,Attorney General,Jefferson B. Sessions,US Attorney,United States Attorney's Office for the Southern District of Alabama,,1981,1993
Justice,Principal Deputy Solicitor General,Noel Francisco,Law Clerk,United States Court of Appeal for the Fourth Circuit,,1996,1997
Justice,Deputy Attorney General,Rod J. Rosenstein,Law Clerk,United States Court of Appeals for the District of Columbia Circuit,,,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Law Clerk,United States Court of Appeals for the Second Circuit,,2004,2005
Justice,Principal Deputy Solicitor General,Noel Francisco,Acting / Principal Deputy Solicitor General,United States Department of Justice,,2017,2017
Justice,Attorney General,William P. Barr,Attorney General,United States Department of Justice,,1991,1993
,,Stephen Boyd,Chief of Staff,United States Department of Justice,,,
Justice,Deputy Attorney General,Rod J. Rosenstein,Counsel,United States Department of Justice,,1993,1994
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Deputy Assistant Attorney General,United States Department of Justice,,2003,2005
Justice,Principal Deputy Solicitor General,Noel Francisco,Deputy Assistant Attorney General,United States Department of Justice,,2003,2005
Justice,Deputy Attorney General,Rod J. Rosenstein,Deputy Attorney General,United States Department of Justice,,2017,2019
Justice,Attorney General,William P. Barr,Deputy Attorney General,United States Department of Justice,,1989,1991
Justice,Deputy Attorney General,Rod J. Rosenstein,Honors Attorney,United States Department of Justice,,1990,1993
Justice,Deputy Attorney General,Rod J. Rosenstein,Principal Deputy Assistant Attorney General,United States Department of Justice,,2001,2005
Justice,Principal Deputy Solicitor General,Noel Francisco,Senior Advisor,United States Department of Justice,,2017,
Justice,Deputy Attorney General,Rod J. Rosenstein,Special Assistant,United States Department of Justice,,1994,1995
,,Jeffrey A. Rosen,Deputy Secretary,United States Department of Transportation,,,2019
,,Jeffrey A. Rosen,General Counsel,United States Department of Transportation,,2003,2006
Justice,Attorney General,William P. Barr,Assistant Legal Counsel,United States of America,,1973,1977
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Chief of Staff,United States Senate,,2000,2003
,,Stephen Boyd,Chief of Staff,United States Senate,,,
Justice,Attorney General,Jefferson B. Sessions,Senator Alabama,United States Senate,,1997,2017
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Special Counsel,United States Senate,,2005,2006
Justice,Principal Deputy Solicitor General,Noel Francisco,Law Clerk,United States Supreme Court,,1997,1998
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,UnityPoint Health,,2017,
Justice,Deputy Attorney General,Rod J. Rosenstein,Adjunct Professor,University of Baltimore School of Law,,,
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,University of North Carolina,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),University of North Carolina,,,
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,Valeant Pharmaceuticals and Valeant Indepdendent Directors,,,
Justice,Attorney General,William P. Barr,Exec VP / General Counsel,Verizon Communications,,2000,2008
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Verizon Communications,,,
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,Viking Global Investors,,,
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,Volkswagen Group of America,,,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Washington Post,,,
Justice,Assistant Attorney General for the Civil Division,Joseph H. Hunt,Attorney,White & Case,-0.494,,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Board Member,"World Poker Tour Foundation, Inc.",,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,Zohar Cohen,,2017,
