District,Attorney WikidataID,Attorney,Employer,Title,Firm conservative score,Start date,End date,Notes
U.S. Attorney for the W.D. of Pennsylvania,Q48740794,Scott Brady,United States Attorney's Office for the Western District of Pennsylvania,Assistant US Attorney,,2004,2010,
U.S. Attorney for the W.D. of Pennsylvania,Q48740794,Scott Brady,University of Pittsburgh School of Law,Adjunt Professor,,,,
U.S. Attorney for the District of New Hampshire,Q45914636,Scott W. Murray,City of Concord NH,Chief Prosecuting Attorney,,1983,2011,
U.S. Attorney for the District of New Hampshire,Q45914636,Scott W. Murray,County of Merrimack NH,District Attorney ,,2010,2018,
U.S. Attorney for the District of Guam & Northern Mariana Islands,,Shawn N. Anderson,United States Attorney's Office for the District of Guam & Northern Mariana Islands,First Assistant US Attorney,,Unknown,2017,
U.S. Attorney for the District of South Carolina,Q51858469,Sherri Lydon,Nexsen Pruet LLC,Attorney,,,1990,
U.S. Attorney for the District of South Carolina,Q51858469,Sherri Lydon,Private Practice,Attorney,,2005,2018,
U.S. Attorney for the District of South Carolina,Q51858469,Sherri Lydon,Private Practice,Attorney,,1995,2003,
U.S. Attorney for the District of South Carolina,Q51858469,Sherri Lydon,Private Practice,Attorney,,1993,1995,
U.S. Attorney for the District of South Carolina,Q51858469,Sherri Lydon,Private Practice,Attorney,,1987,1990,
U.S. Attorney for the District of South Carolina,Q51858469,Sherri Lydon,South Carolina Office of the Attorney General,Chief,,2003,2004,
U.S. Attorney for the District of South Carolina,Q51858469,Sherri Lydon,United States Attorney's Office for the District of South Carolina,US Attorney,,2018,2019,
U.S. Attorney for the District of South Carolina,Q51858469,Sherri Lydon,United States Attorney's Office for the District of South Carolina,Assistant US Attorney,,1990,1993,
U.S. Attorney for the District of Kansas,Q48791963,Stephen McAllister,Kansas Office of the Attorney General,Soliciter General,,,,
U.S. Attorney for the District of Kansas,Q48791963,Stephen McAllister,United States Appeals Court for the Seventh Circuit,Law Clerk,,,,
U.S. Attorney for the District of Kansas,Q48791963,Stephen McAllister,United States Supreme Court,Law Clerk,,,,
U.S. Attorney for the District of Kansas,Q48791963,Stephen McAllister,University of Kansas School of Law,E.S. & Tom W. Hampton Distinguished Professor,,,,
U.S. Attorney for the S.D. of Illinois,,Steven D. Weinhoeft,United States Attorney's Office for the Southern District of Illinois,First Assistant US Attorney,,2016,2018,
U.S. Attorney for the S.D. of Illinois,,Steven D. Weinhoeft,United States Attorney's Office for the Southern District of Illinois,Assistant US Attorney,,2006,2016,
