"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","barr_appointment","political_affiliation","bachelors","masters","doctorate","law","law_conservative_score","law_rank","connection_trump_all","connection_trump_interviews","connection_trump_campaign","connection_trumpally_all","connection_trumpally_innercircle","connection_trumpally_us_senate","connection_trumpally_state_gov","connection_trumpally_rnc","connection_conservative_all","connection_conservative_lawschool","connection_conservative_firm","connection_conservative_group","connection_conservative_gov","federalist_society","heritage_foundation","american_center_for_law_and_justice","christian_legal_society_bar_association","national_rifle_association_tie","republican_national_lawyers_association_tie","connection_careerprofessional_all","connection_other_all"
"62","Louis V. Franklin Sr.","U.S. Attorney for the M.D. of Alabama","prosecutor","9/21/2017","1958-01-01",62,"Montgomery","male",0,NA,"University of Alabama","Auburn University at Montgomery",NA,"Howard University",-1.17,148,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"63","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,1,0,1,0,0,0,0,0,1,0,1,1,0,1,NA,NA,NA,NA,NA,0,0
"64","Marc Krickbaum","U.S. Attorney for the S.D. of Iowa","prosecutor","10/2/2017","1979-01-01",41,"Waco","male",0,"None","University of Iowa",NA,NA,"Harvard University",-0.816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"65","Maria Chapa Lopez","U.S. Attorney for the M.D. of Florida","prosecutor","1/5/2018",NA,NA,"","female",0,"Republican","University of Texas","The Judge Advocate General's Legal Center and School",NA,"South Texas College of Law",-0.08,148,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"66","Mark Klassen","U.S. Attorney for the District of Wyoming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"67","Matthew J. Schneider","U.S. Attorney for the E.D. of Michigan","prosecutor","1/5/2018",NA,NA,"","male",0,NA,"Michigan State University",NA,NA,"University of Michigan",-0.776,8,0,0,0,0,0,0,0,0,1,0,1,1,0,1,NA,NA,NA,NA,NA,1,0
"68","Matthew Krueger","U.S. Attorney for the E.D. of Wisconsin","prosecutor","2/23/2018","1978-01-01",42,"Milwaukee","male",0,"Republican","University of Wisconsin–Madison",NA,NA,"University of Minnesota",-0.907,24,0,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,0,1
"69","Matthew Martin","U.S. Attorney for the M.D. of North Carolina","prosecutor","11/9/2017","1979-01-01",41,"Wright-Patterson Air Force Base","male",0,"Republican","University of North Carolina",NA,NA,"University of North Carolina, Chapel Hill",-0.391,43,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"70","McGregor W. Scott","U.S. Attorney for the E.D. of California","prosecutor","12/29/2017","1962-01-01",58,"Mountain View","male",0,"Republcian","Santa Clara University",NA,NA,"University of California, Hastings",-1.125,64,0,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,1,0
"71","Michael B. Stuart","U.S. Attorney for the S.D. of West Virginia","prosecutor","1/9/2018","1967-01-06",53,"Philippi","male",0,"Republican","West Virginia University",NA,NA,"Boston University",-0.93,19,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
