"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","bachelors","masters","doctorate","law","law_conservative_score","law_rank","barr_appointment","political_affiliation","employer_past","firm_conservative_score","start_date","end_date","american_center_for_law_and_justice","christian_legal_society_bar_association","federalist_society","heritage_foundation","national_rifle_association_tie","republican_national_lawyers_association_tie"
"307","Jessie K. Liu","U.S. Attorney for the District of Columbia","prosecutor","2017-09-24","1973-01-02",47,"Kingsville","female","Harvard University",NA,NA,"Yale University",-0.913,1,0,NA,"United States Court of Appeals for the Fifth Circuit",NA,1998,1999,NA,NA,1,1,NA,NA
"308","Erin Nealy Cox","U.S. Attorney for the N.D. of Texas","prosecutor","2017-11-17","1970-01-01",50,"Pascagoula","female",NA,NA,NA,"University of Texas, Austin",-0.165,15,0,"None","United States Court of Appeals for the Fifth Circuit",NA,NA,NA,NA,NA,1,NA,NA,NA
"309","Thomas T. Cullen","U.S. Attorney for the W.D. of Virginia","prosecutor","2018-03-30","1977-01-01",43,"Richmond","male","Furman University",NA,NA,"William & Mary",-0.414,36,0,"None","United States Court of Appeals for the Fourth Circuit",NA,NA,NA,NA,NA,1,NA,NA,1
"310","Matthew Krueger","U.S. Attorney for the E.D. of Wisconsin","prosecutor","2018-02-23","1978-01-01",42,"Milwaukee","male","University of Wisconsin–Madison",NA,NA,"University of Minnesota",-0.907,24,0,"Republican","United States Court of Appeals for the Fourth Circuit",NA,NA,NA,NA,NA,1,NA,NA,NA
"311","David L. Anderson",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Court of Appeals for the Ninth Circuit",NA,1990,1991,NA,NA,NA,NA,NA,NA
"312","Robert K. Hur",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Court of Appeals for the Ninth Circuit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","John R. Lausch Jr.","U.S. Attorney for the N.D. of Illinois","prosecutor","2017-11-22","1970-01-01",50,"Joliet","male","Harvard University",NA,NA,"Northwestern University",-0.839,8,0,"None","United States Court of Appeals for the Seventh Circuit",NA,1996,1997,NA,NA,NA,NA,NA,NA
"314","John C. Anderson","U.S. Attorney for the District of New Mexico","prosecutor","2018-02-23","1975-01-01",45,"Smithtown","male","Bowdoin College",NA,NA,"Fordham University",-0.773,24,0,"Republican","United States Court of Appeals for the Tenth Circuit",NA,2003,2004,NA,NA,NA,NA,NA,NA
"315","Mark Klassen",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Court of Appeals for the Tenth Circuit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","William M. McSwain","U.S. Attorney for the E.D. of Pennsylvania","prosecutor","2018-04-06","1969-01-01",51,"Philadelphia","male","Yale University",NA,NA,"Harvard University",-0.816,1,0,"Republican","United States Court of Appeals for the Third Circuit",NA,NA,NA,NA,NA,1,NA,NA,NA
"317","Geoffrey Berman","U.S. Attorney for the S.D. of New York","prosecutor",NA,"1959-09-12",61,"Trenton","male","University of Pennsylvania",NA,NA,"Stanford University",-0.878,4,NA,"Republican","United States Court of Appeals for the Third Circuit",NA,NA,NA,NA,NA,1,NA,NA,NA
"318","Mark Klassen",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Department of Homeland Security",NA,2007,2009,NA,NA,NA,NA,NA,NA
"319","Maria Chapa Lopez","U.S. Attorney for the M.D. of Florida","prosecutor","2018-01-05",NA,NA,"","female","University of Texas","The Judge Advocate General's Legal Center and School",NA,"South Texas College of Law",-0.08,148,0,"Republican","United States Department of Justice",NA,2016,2018,NA,NA,NA,NA,NA,NA
"320","Thomas Kirsch","U.S. Attorney for the N.D. of Indiana","prosecutor","2017-10-10","1974-01-25",46,"","male","Indiana University",NA,NA,"Harvard University",-0.816,1,0,NA,"United States Department of Justice",NA,2006,2007,NA,NA,NA,NA,NA,NA
"321","Marc Krickbaum","U.S. Attorney for the S.D. of Iowa","prosecutor","2017-10-02","1979-01-01",41,"Waco","male","University of Iowa",NA,NA,"Harvard University",-0.816,1,0,"None","United States Department of Justice",NA,NA,2008,NA,NA,NA,NA,NA,NA
"322","Peter G. Strasser","U.S. Attorney for the E.D. of Louisiana","prosecutor","2018-09-10",NA,NA,"","male","University of Virginia",NA,NA,"Washington and Lee University",-0.401,29,0,NA,"United States Department of Justice",NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","Halsey Frank","U.S. Attorney for the District of Maine","prosecutor","2017-10-10",NA,NA,"","male","Wesleyan University",NA,NA,"Boston University",-0.93,19,0,NA,"United States Department of Justice",NA,1987,1990,NA,NA,NA,NA,NA,NA
"324","Robert K. Hur",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Department of Justice",NA,2017,2018,NA,NA,NA,NA,NA,NA
"325","Robert K. Hur",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Department of Justice",NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","Nicholas A. Trutanich","U.S. Attorney for the District of Nevada","prosecutor","2019-01-16",NA,NA,"","male","University of California, Davis",NA,NA,"Georgetown University",-0.821,15,0,"Democrat","United States Department of Justice",NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","Robert Higdon Jr.","U.S. Attorney for the E.D. of North Carolina","prosecutor","2017-10-10",NA,NA,"","male","Wake Forest University",NA,NA,"Wake Forest University",-0.349,36,0,NA,"United States Department of Justice",NA,2014,2015,NA,NA,NA,NA,NA,NA
"328","David M. DeVillers","U.S. Attorney for the S.D. Ohio","prosecutor","2019-10-28",NA,NA,"","male","State University of New York at Oswego",NA,NA,"Capital University",-0.041,166,1,"Republican","United States Department of Justice",NA,2010,2018,NA,NA,NA,NA,NA,NA
"329","R. Trent Shores","U.S. Attorney for the N.D. of Oklahoma","prosecutor","2017-10-21",NA,NA,"","male","Vanderbilt University",NA,NA,"University of Oklahoma",0.062,77,0,"Republican","United States Department of Justice",NA,NA,NA,NA,NA,1,NA,NA,NA
"330","W. Stephen Muldrow","U.S. Attorney for the District of Puerto Rico","prosecutor","2019-10-04","1964-06-15",56,"","male","Bucknell University","American University School of International Service",NA,"American University",-0.834,64,1,NA,"United States Department of Justice",NA,1989,1995,NA,NA,NA,NA,NA,NA
"331","John Bash","U.S. Attorney for the W.D. of Texas","prosecutor","2017-12-11",NA,NA,"","male","Harvard University",NA,NA,"Harvard University",-0.816,1,0,NA,"United States Department of Justice",NA,2012,2017,NA,NA,1,NA,NA,NA
"332","Matthew Krueger","U.S. Attorney for the E.D. of Wisconsin","prosecutor","2018-02-23","1978-01-01",42,"Milwaukee","male","University of Wisconsin–Madison",NA,NA,"University of Minnesota",-0.907,24,0,"Republican","United States Department of Justice",NA,NA,NA,NA,NA,1,NA,NA,NA
"333","Michael Sherwin",NA,"prosecutor",NA,NA,NA,NA,NA,"Ohio State University",NA,NA,"University of Notre Dame",-0.196,21,NA,NA,"United States Department of Justice",NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","Jessie K. Liu","U.S. Attorney for the District of Columbia","prosecutor","2017-09-24","1973-01-02",47,"Kingsville","female","Harvard University",NA,NA,"Yale University",-0.913,1,0,NA,"United States Department of the Treasury",NA,2017,2017,NA,NA,1,1,NA,NA
"335","Nicholas A. Trutanich","U.S. Attorney for the District of Nevada","prosecutor","2019-01-16",NA,NA,"","male","University of California, Davis",NA,NA,"Georgetown University",-0.821,15,0,"Democrat","United States District Court for the Central District of California",NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","B.J. Pak",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States District Court for the Central District of Illinois",NA,1998,2000,NA,NA,NA,NA,NA,NA
"337","Robert M. Duncan Jr.","U.S. Attorney for the E.D. of Kentucky","prosecutor","2017-11-21","1978-01-01",42,"Ashland","male","Centre College",NA,NA,"University of Kentucky",0.039,92,0,"Republcian","United States District Court for the Eastern District of Michigan",NA,NA,NA,NA,NA,1,NA,NA,NA
"338","Thomas T. Cullen","U.S. Attorney for the W.D. of Virginia","prosecutor","2018-03-30","1977-01-01",43,"Richmond","male","Furman University",NA,NA,"William & Mary",-0.414,36,0,"None","United States District Court for the Eastern District of Michigan",NA,NA,NA,NA,NA,1,NA,NA,1
"339","Donald Q. Cochran","U.S. Attorney for the M.D. of Tennessee","prosecutor","2017-09-21",NA,NA,"","male","Vanderbilt University",NA,NA,"Vanderbilt University",-0.556,15,0,NA,"United States District Court for the Northern District of Georgia",NA,NA,NA,NA,NA,1,NA,NA,NA
"340","Erica MacDonald","U.S. Attorney for the District of Minnesota","prosecutor","2018-06-11",NA,NA,"DeSoto","female","University of Notre Dame",NA,NA,"DePaul University",-0.824,115,0,"Republican","United States District Court for the Northern District of Illinois",NA,1997,1999,NA,NA,NA,NA,NA,NA
"341","Erin Nealy Cox","U.S. Attorney for the N.D. of Texas","prosecutor","2017-11-17","1970-01-01",50,"Pascagoula","female",NA,NA,NA,"University of Texas, Austin",-0.165,15,0,"None","United States District Court for the Northern District of Texas",NA,NA,NA,NA,NA,1,NA,NA,NA
"342","G. Zachary Terwilliger","U.S. Attorney for the E.D. of Virginia","prosecutor","2018-05-25","1985-01-01",35,"Washington, D.C.","male","University of Virginia",NA,NA,"William & Mary",-0.414,36,0,NA,"United States District Court for the Southern District of Florida",NA,NA,2008,NA,NA,1,NA,NA,NA
"343","Andrew Lelling","U.S. Attorney for the District of Massachusetts","prosecutor","2017-12-21","1970-01-01",50,"","male","Binghamton University",NA,NA,"University of Pennsylvania",-0.865,6,0,"Republican","United States District Court for the Southern District of Georgia",NA,1994,1995,NA,NA,1,NA,NA,NA
"344","Thomas Kirsch","U.S. Attorney for the N.D. of Indiana","prosecutor","2017-10-10","1974-01-25",46,"","male","Indiana University",NA,NA,"Harvard University",-0.816,1,0,NA,"United States District Court for the Southern District of Indiana",NA,2000,2001,NA,NA,NA,NA,NA,NA
"345","Christina E. Nolan","U.S. Attorney for the District of Vermont","prosecutor","2017-11-27","1979-01-01",41,"Burlington","female","University of Vermont",NA,NA,"Boston College",-0.82,24,0,"None","United States District Court of Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","Russell Coleman","U.S. Attorney for the W.D. of Kentucky","prosecutor","2017-09-22",NA,NA,"","male","University of Kentucky",NA,NA,"University of Kentucky",0.039,92,0,"Republican","United States Senate",NA,2010,2015,NA,NA,NA,NA,NA,NA
"347","David L. Anderson",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Supreme Court",NA,1991,1992,NA,NA,NA,NA,NA,NA
"348","Stephen McAllister","U.S. Attorney for the District of Kansas","prosecutor","2018-01-25",NA,NA,"","male","University of Kansas",NA,NA,"University of Kansas",-0.391,77,0,NA,"United States Supreme Court",NA,NA,NA,NA,NA,1,NA,NA,NA
"349","Robert K. Hur",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Supreme Court",NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","John Bash","U.S. Attorney for the W.D. of Texas","prosecutor","2017-12-11",NA,NA,"","male","Harvard University",NA,NA,"Harvard University",-0.816,1,0,NA,"United States Supreme Court",NA,NA,NA,NA,NA,1,NA,NA,NA
"351","Stephen McAllister","U.S. Attorney for the District of Kansas","prosecutor","2018-01-25",NA,NA,"","male","University of Kansas",NA,NA,"University of Kansas",-0.391,77,0,NA,"University of Kansas School of Law",NA,NA,NA,NA,NA,1,NA,NA,NA
"352","Scott Brady","U.S. Attorney for the W.D. of Pennsylvania","prosecutor","2017-12-22",NA,NA,"","male","Harvard University",NA,NA,"Dickinson Law",-0.337,52,0,NA,"University of Pittsburgh School of Law",NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","Duane Kees","U.S. Attorney for the W.D. of Arkansas","prosecutor","2018-01-05","1975-01-01",45,"Little Rock","male","University of Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,102,0,"Republican","US Army Judge Advocate General's Corp",NA,2001,2008,1,NA,1,NA,1,NA
"354","Duane Kees","U.S. Attorney for the W.D. of Arkansas","prosecutor","2018-01-05","1975-01-01",45,"Little Rock","male","University of Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,"Republican","US Army Judge Advocate General's Corp",NA,2001,2008,1,NA,1,NA,1,NA
"355","Maria Chapa Lopez","U.S. Attorney for the M.D. of Florida","prosecutor","2018-01-05",NA,NA,"","female","University of Texas","The Judge Advocate General's Legal Center and School",NA,"South Texas College of Law",-0.08,148,0,"Republican","US Army Judge Advocate General's Corp",NA,NA,2000,NA,NA,NA,NA,NA,NA
"356","Bobby Christine","U.S. Attorney for the S.D. of Georgia","prosecutor","2017-11-22","1969-01-01",51,"","male","University of Georgia",NA,NA,"Cumberland University",0.382,148,0,NA,"US Army Judge Advocate General's Corp",NA,NA,NA,NA,NA,1,NA,NA,NA
"357","Timothy J. Downing","U.S. Attorney for the W.D. of Oklahoma","prosecutor","2019-06-05",NA,NA,"","male","University of Oklahoma","Oral Roberts University",NA,"Regent University",0.264,102,1,"Republican","US Army Judge Advocate General's Corp",NA,2011,NA,NA,NA,1,NA,NA,NA
"358","Richard Donoghue",NA,"prosecutor",NA,NA,NA,NA,NA,"Hofstra University",NA,NA,"St. John’s University, New York, NY",-0.483,58,NA,NA,"US Army Judge Advocate General's Corp",NA,1993,2000,NA,NA,NA,NA,NA,NA
"359","Grant C. Jaquith","U.S. Attorney for the N.D. of New York","prosecutor",NA,NA,NA,"","male","Presbyterian College",NA,NA,"University of Florida",-0.214,29,NA,NA,"US Army Judge Advocate General's Corp",NA,1982,1988,NA,NA,NA,NA,NA,NA
"360","Grant C. Jaquith","U.S. Attorney for the N.D. of New York","prosecutor",NA,NA,NA,"","male","Presbyterian College",NA,NA,"University of Florida",-0.214,29,NA,NA,"US Attorney's Office for the Northern District of New York",NA,2006,2010,NA,NA,NA,NA,NA,NA
"361","Mark Klassen",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US House of Representatives",NA,2003,2007,NA,NA,NA,NA,NA,NA
"362","Duane Kees","U.S. Attorney for the W.D. of Arkansas","prosecutor","2018-01-05","1975-01-01",45,"Little Rock","male","University of Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,102,0,"Republican","Wal-Mart Stores Inc",NA,NA,2017,1,NA,1,NA,1,NA
"363","Duane Kees","U.S. Attorney for the W.D. of Arkansas","prosecutor","2018-01-05","1975-01-01",45,"Little Rock","male","University of Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,"Republican","Wal-Mart Stores Inc",NA,NA,2017,1,NA,1,NA,1,NA
"364","Brian T. Moran","U.S. Attorney for the W.D. of Washington","prosecutor","2019-01-17",NA,NA,"","male","Middlebury College",NA,NA,"Seattle University",-0.938,102,0,NA,"Washington Office of the Attorney General",NA,2006,2013,NA,NA,NA,NA,NA,NA
"365","Brian T. Moran","U.S. Attorney for the W.D. of Washington","prosecutor","2019-01-17",NA,NA,"","male","Middlebury College",NA,NA,"Seattle University",-0.938,102,0,NA,"Washington Office of the Attorney General",NA,1998,2006,NA,NA,NA,NA,NA,NA
"366","Matthew J. Schneider","U.S. Attorney for the E.D. of Michigan","prosecutor","2018-01-05",NA,NA,"","male","Michigan State University",NA,NA,"University of Michigan",-0.776,8,0,NA,"White House Office of Management and Budget",NA,NA,NA,NA,NA,1,NA,NA,NA
"367","Matthew J. Schneider","U.S. Attorney for the E.D. of Michigan","prosecutor","2018-01-05",NA,NA,"","male","Michigan State University",NA,NA,"University of Michigan",-0.776,8,0,NA,"Wiley Rein",-0.027,NA,NA,NA,NA,1,NA,NA,NA
"368","Robert Higdon Jr.","U.S. Attorney for the E.D. of North Carolina","prosecutor","2017-10-10",NA,NA,"","male","Wake Forest University",NA,NA,"Wake Forest University",-0.349,36,0,NA,"Williams Mullen",0.082,2015,2017,NA,NA,NA,NA,NA,NA
"369","Ariana Fajardo Orshan","U.S. Attorney for the S.D. of Florida","prosecutor","2018-09-18",NA,NA,"","female","Florida International University",NA,NA,"Nova Southeastern University",-0.224,157,0,NA,"Wilson Elser Moskowitz Edelman & Dicker LLP",-0.406,NA,NA,NA,NA,1,NA,NA,NA
"370","Thomas Kirsch","U.S. Attorney for the N.D. of Indiana","prosecutor","2017-10-10","1974-01-25",46,"","male","Indiana University",NA,NA,"Harvard University",-0.816,1,0,NA,"Winston & Strawn LLP",-0.382,2008,2017,NA,NA,NA,NA,NA,NA
"371","Thomas T. Cullen","U.S. Attorney for the W.D. of Virginia","prosecutor","2018-03-30","1977-01-01",43,"Richmond","male","Furman University",NA,NA,"William & Mary",-0.414,36,0,"None","Woods Rogers PLC",NA,NA,2018,NA,NA,1,NA,NA,1
"372","Kurt Alme","U.S. Attorney for the District of Montana","prosecutor","2017-09-21",NA,NA,"Miles City","male","University of Colorado",NA,NA,"Harvard University",-0.816,1,0,"Republican","Yellowstone Boys & Girls Ranch",NA,2013,2017,NA,NA,NA,NA,NA,NA
"373","Kurt Alme","U.S. Attorney for the District of Montana","prosecutor","2017-09-21",NA,NA,"Miles City","male","University of Colorado",NA,NA,"Harvard University",-0.816,1,0,"Republican","Yellowstone Boys & Girls Ranch",NA,2010,2013,NA,NA,NA,NA,NA,NA
"374","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Brownstein Hyatt Farber Schreck LLP",NA,2017,NA,NA,NA,1,NA,NA,NA
"375","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Qualcomm Inc.",NA,2017,NA,NA,NA,1,NA,NA,NA
"376","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Ares Management LP",NA,2017,NA,NA,NA,1,NA,NA,NA
"377","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Baxter Healthcare",NA,2017,NA,NA,NA,1,NA,NA,NA
"378","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Anthem, Inc.",NA,2017,NA,NA,NA,1,NA,NA,NA
"379","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Papersource Manufacturing & Converting",NA,2017,NA,NA,NA,1,NA,NA,NA
"380","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Complete Control Management",NA,2017,NA,NA,NA,1,NA,NA,NA
"381","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Ultimate Fighting Championship",NA,2017,NA,NA,NA,1,NA,NA,NA
"382","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Ardent Health Services",NA,2017,NA,NA,NA,1,NA,NA,NA
"383","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Medical Device Manufacturers Association",NA,2017,NA,NA,NA,1,NA,NA,NA
"384","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Brentwood School",NA,2017,NA,NA,NA,1,NA,NA,NA
"385","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Flexjet, LLC",NA,2017,NA,NA,NA,1,NA,NA,NA
"386","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Mentor Network",NA,2017,NA,NA,NA,1,NA,NA,NA
"387","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Jacob Khobian",NA,2017,NA,NA,NA,1,NA,NA,NA
"388","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Caesars Interactive Entertainment, Inc.",NA,2017,NA,NA,NA,1,NA,NA,NA
"389","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Brownstein Hyatt Farber Schreck LLP",NA,2017,NA,NA,NA,1,NA,NA,NA
"390","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Pepperdine University School of Law",NA,2017,NA,NA,NA,1,NA,NA,NA
"391","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Trump for America, Inc.",NA,2017,NA,NA,NA,1,NA,NA,NA
"392","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"World Poker Tour Foundation, Inc.",NA,2017,NA,NA,NA,1,NA,NA,NA
"393","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Preconcile, LLC",NA,2017,NA,NA,NA,1,NA,NA,NA
"394","Jefferson B. Sessions","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Samford University",NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Jones Day LLP",NA,2017,NA,NA,NA,1,1,NA,NA
"396","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Boeing Company",NA,2017,NA,NA,NA,1,1,NA,NA
"397","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Christian Educators Association",NA,2017,NA,NA,NA,1,1,NA,NA
"398","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Community Financial Services Association of America",NA,2017,NA,NA,NA,1,1,NA,NA
"399","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"HCA, Inc",NA,2017,NA,NA,NA,1,1,NA,NA
"400","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"International Business Machines Corporation",NA,2017,NA,NA,NA,1,1,NA,NA
"401","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"The Internet Corporation for Assigned Names and Numbers",NA,2017,NA,NA,NA,1,1,NA,NA
"402","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Loma Linda University Adventist Health Sciences",NA,2017,NA,NA,NA,1,1,NA,NA
"403","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Reynolds American, Inc.",NA,2017,NA,NA,NA,1,1,NA,NA
"404","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"R.J. Reynolds Tobacco Company",NA,2017,NA,NA,NA,1,1,NA,NA
"405","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"The Museum of the Bible",NA,2017,NA,NA,NA,1,1,NA,NA
"406","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"UnityPoint Health",NA,2017,NA,NA,NA,1,1,NA,NA
"407","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"University of North Carolina",NA,2017,NA,NA,NA,1,1,NA,NA
"408","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Herbert Vederman",NA,2017,NA,NA,NA,1,1,NA,NA
"409","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Expedia",NA,2017,NA,NA,NA,1,1,NA,NA
"410","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Robert F. McDonnell",NA,2017,NA,NA,NA,1,1,NA,NA
"411","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Jones Day LLP",NA,2017,NA,NA,NA,1,1,NA,NA
"412","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Historical Society of the District of Columbia",NA,2017,NA,NA,NA,1,1,NA,NA
"413","Jeffrey Bossert Clark","Assistant Attorney General for the Environment and Natural Resources Division","justicedept",NA,NA,NA,NA,NA,"Harvard University","University of Delaware",NA,"Georgetown University",-0.821,15,NA,NA,"Kirkland & Ellis",NA,NA,NA,NA,NA,1,1,NA,NA
"414","Jeffrey Bossert Clark","Assistant Attorney General for the Environment and Natural Resources Division","justicedept",NA,NA,NA,NA,NA,"Harvard University","University of Delaware",NA,"Georgetown University",-0.821,15,NA,NA,"Kirkland & Ellis",NA,NA,NA,NA,NA,1,1,NA,NA
